Economy,Year,Score-Starting a business
Belarus,DB2014,89.6
Belarus,DB2013,87.7
Belarus,DB2012,87.8
Belarus,DB2011,87.8
Belarus,DB2010,87.8
Belarus,DB2009,78.5
Belarus,DB2008,70.1
Belgium,DB2018,91.4
Belgium,DB2017,91.4
Belgium,DB2016,91.4
Belgium,DB2015,91.3
Belgium,DB2014,91.3
Belgium,DB2013,91.3
Belgium,DB2012,91.2
Belgium,DB2011,91.2
Belgium,DB2010,91.2
Belgium,DB2009,91.2
Belgium,DB2008,91.1
Belize,DB2018,72
Belize,DB2017,73.2
Belize,DB2016,73.3
Belize,DB2015,73.3
Belize,DB2014,73.1
Belize,DB2013,73
Belize,DB2012,73
Belize,DB2011,73.1
Belize,DB2010,73.1
Belize,DB2009,73
Belize,DB2008,72.9
Benin,DB2018,90.6
Benin,DB2017,90.6
Benin,DB2016,81.4
Benin,DB2015,80
Benin,DB2014,54.3
Benin,DB2013,49.3
Benin,DB2012,43.2
Benin,DB2011,40.4
Benin,DB2010,39.6
Benin,DB2009,31
Benin,DB2008,30.7
Bhutan,DB2018,86.3
Bhutan,DB2017,85.6
Bhutan,DB2016,85.6
Bhutan,DB2015,85.5
Bhutan,DB2014,81.7
Bhutan,DB2013,80.3
Bhutan,DB2012,80.3
Bhutan,DB2011,77.5
Bhutan,DB2010,77.4
Bhutan,DB2009,77.4
Bhutan,DB2008,76.7
Bolivia,DB2018,67.8
Bolivia,DB2017,63.5
Bolivia,DB2016,62.3
Bolivia,DB2015,61.1
Bolivia,DB2014,60.2
Bolivia,DB2013,59.9
Bolivia,DB2012,58
Bolivia,DB2011,56.8
Bolivia,DB2010,57
Bolivia,DB2009,55.4
Bolivia,DB2008,52.6
Bosnia and Herzegovina,DB2018,59.6
Bosnia and Herzegovina,DB2017,58.7
Bosnia and Herzegovina,DB2016,57.1
Bosnia and Herzegovina,DB2015,56.9
Bosnia and Herzegovina,DB2014,56.9
Bosnia and Herzegovina,DB2013,56.8
Bosnia and Herzegovina,DB2012,54.3
Bosnia and Herzegovina,DB2011,50.4
Bosnia and Herzegovina,DB2010,53.7
Bosnia and Herzegovina,DB2009,51.4
Bosnia and Herzegovina,DB2008,52.6
Botswana,DB2018,76.2
Botswana,DB2017,76.2
Botswana,DB2016,76.2
Botswana,DB2015,76.2
Botswana,DB2014,77.9
Botswana,DB2013,78.2
Botswana,DB2012,78.2
Botswana,DB2011,71.9
Botswana,DB2010,71.9
Botswana,DB2009,68.1
Botswana,DB2008,59.1
Brazil,DB2018,64.8
Brazil,DB2017,64.7
Brazil,DB2016,63.9
Brazil,DB2015,64.7
Brazil,DB2014,63.7
Brazil,DB2013,
Brazil,DB2012,
Brazil,DB2011,
Brazil,DB2010,
Brazil,DB2009,
Brazil,DB2008,
Brazil - Rio de Janeiro,DB2018,72.6
Brazil - Rio de Janeiro,DB2017,72.5
Brazil - Rio de Janeiro,DB2016,70.3
Brazil - Rio de Janeiro,DB2015,72.4
Brazil - Rio de Janeiro,DB2014,72.3
Brazil - Rio de Janeiro,DB2013,
Brazil - Rio de Janeiro,DB2012,
Brazil - Rio de Janeiro,DB2011,
Brazil - Rio de Janeiro,DB2010,
Brazil - Rio de Janeiro,DB2009,
Brazil - Rio de Janeiro,DB2008,
Brazil - S?o Paulo,DB2018,59.8
Brazil - S?o Paulo,DB2017,59.8
Brazil - S?o Paulo,DB2016,59.8
Brazil - S?o Paulo,DB2015,59.8
Brazil - S?o Paulo,DB2014,58.3
Brazil - S?o Paulo,DB2013,58.2
Brazil - S?o Paulo,DB2012,58.1
Brazil - S?o Paulo,DB2011,57.9
Brazil - S?o Paulo,DB2010,56.5
Brazil - S?o Paulo,DB2009,53.4
Brazil - S?o Paulo,DB2008,53.1
Brunei Darussalam,DB2018,90.2
Brunei Darussalam,DB2017,86.7
Brunei Darussalam,DB2016,86.8
Brunei Darussalam,DB2015,48.7
Brunei Darussalam,DB2014,48.8
Brunei Darussalam,DB2013,48.7
Brunei Darussalam,DB2012,48.5
Brunei Darussalam,DB2011,48.3
Brunei Darussalam,DB2010,48.8
Brunei Darussalam,DB2009,48.8
Brunei Darussalam,DB2008,48.9
Bulgaria,DB2018,85.4
Bulgaria,DB2017,85.4
Bulgaria,DB2016,84.8
Bulgaria,DB2015,84.8
Bulgaria,DB2014,84.8
Bulgaria,DB2013,84.8
Bulgaria,DB2012,84.7
Bulgaria,DB2011,84.7
Bulgaria,DB2010,83.4
Bulgaria,DB2009,73.9
Bulgaria,DB2008,69.7
Burkina Faso,DB2018,88.2
Burkina Faso,DB2017,88.1
Burkina Faso,DB2016,86.7
Burkina Faso,DB2015,69.1
Burkina Faso,DB2014,69.2
Burkina Faso,DB2013,66
Burkina Faso,DB2012,64.6
Burkina Faso,DB2011,61
Burkina Faso,DB2010,60.9
Burkina Faso,DB2009,57.4
Burkina Faso,DB2008,53
Burundi,DB2018,91.9
Burundi,DB2017,94.4
Burundi,DB2016,94.5
Burundi,DB2015,94.3
Burundi,DB2014,93.7
Burundi,DB2013,91.7
Burundi,DB2012,72
Burundi,DB2011,71
Burundi,DB2010,68.4
Burundi,DB2009,61.6
Burundi,DB2008,61.6
Cabo Verde,DB2018,81.9
Cabo Verde,DB2017,82
Cabo Verde,DB2016,82
Cabo Verde,DB2015,82
Cabo Verde,DB2014,82.2
Cabo Verde,DB2013,79.8
Cabo Verde,DB2012,79.3
Cabo Verde,DB2011,78.9
Cabo Verde,DB2010,77.8
Cabo Verde,DB2009,63.5
Cabo Verde,DB2008,62.5
